Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2020,JANUARY,Olusosun,10627,107577,1.0,1.0,0,15000,4
2020,JANUARY,Abule-Egba,721,6489,1.0,1.0,0,12000,0
2020,JANUARY,Solous,1165,10750,1.0,1.0,0,13000,5
2020,JANUARY,Badagry,191,1719,1.0,1.0,0,8000,1
2020,JANUARY,Epe,1393,15516,1.0,1.0,0,7000,2
2020,JANUARY,Ikorodu,1175,10125,1.0,1.0,0,11000,3
2020,FEBRUARY,Olusosun,12457,131525,2.0,1.0,0,15000,4
2020,FEBRUARY,Abule-Egba,789,7101,2.0,1.0,0,12000,0
2020,FEBRUARY,Solous,1316,12064,2.0,1.0,0,13000,5
2020,FEBRUARY,Badagry,235,2115,2.0,1.0,0,8000,1
2020,FEBRUARY,Epe,1869,21701,2.0,1.0,0,7000,2
2020,FEBRUARY,Ikorodu,1385,12555,2.0,1.0,0,11000,3
2020,MARCH,Olusosun,8467,89740,3.0,1.0,0,15000,4
2020,MARCH,Abule-Egba,1192,10738,3.0,1.0,0,12000,0
2020,MARCH,Solous,1014,9366,3.0,1.0,0,13000,5
2020,MARCH,Badagry,253,2277,3.0,1.0,0,8000,1
2020,MARCH,Epe,1617,25733,3.0,1.0,0,7000,2
2020,MARCH,Ikorodu,1090,10019,3.0,1.0,0,11000,3
2020,APRIL,Olusosun,6603,70356,4.0,2.0,0,15000,4
2020,APRIL,Abule-Egba,1219,11031,4.0,2.0,0,12000,0
2020,APRIL,Solous,737,6833,4.0,2.0,0,13000,5
2020,APRIL,Badagry,215,1935,4.0,2.0,0,8000,1
2020,APRIL,Epe,1183,18518,4.0,2.0,0,7000,2
2020,APRIL,Ikorodu,962,8850,4.0,2.0,0,11000,3
2020,MAY,Olusosun,7872,88428,5.0,2.0,0,15000,4
2020,MAY,Abule-Egba,235,2150,5.0,2.0,0,12000,0
2020,MAY,Solous,734,6756,5.0,2.0,0,13000,5
2020,MAY,Badagry,226,2025,5.0,2.0,0,8000,1
2020,MAY,Epe,1089,12880,5.0,2.0,0,7000,2
2020,MAY,Ikorodu,931,8678,5.0,2.0,0,11000,3
2020,JUNE ,Olusosun,6364,69574,,,0,15000,4
2020,JUNE ,Abule-Egba,931,8379,,,0,12000,0
2020,JUNE ,Solous,689,6361,,,0,13000,5
2020,JUNE ,Badagry,140,1260,,,0,8000,1
2020,JUNE ,Epe,1110,12466,,,0,7000,2
2020,JUNE ,Ikorodu,1853,17476,,,0,11000,3
2020,JULY,Olusosun,5742,66749,7.0,3.0,0,15000,4
2020,JULY,Abule-Egba,762,6845,7.0,3.0,0,12000,0
2020,JULY,Solous,3509,32176,7.0,3.0,0,13000,5
2020,JULY,Badagry,110,990,7.0,3.0,0,8000,1
2020,JULY,Epe,1405,15240,7.0,3.0,0,7000,2
2020,JULY,Ikorodu,2245,20707,7.0,3.0,0,11000,3
2020,AUGUST,Olusosun,7436,78675,8.0,3.0,0,15000,4
2020,AUGUST,Abule-Egba,363,3267,8.0,3.0,0,12000,0
2020,AUGUST,Solous,4044,36926,8.0,3.0,0,13000,5
2020,AUGUST,Badagry,66,594,8.0,3.0,0,8000,1
2020,AUGUST,Epe,1588,18878,8.0,3.0,0,7000,2
2020,AUGUST,Ikorodu,1262,12493,8.0,3.0,0,11000,3
2020,SEPTEMBER,Olusosun,9260,97693,9.0,3.0,0,15000,4
2020,SEPTEMBER,Abule-Egba, -   , -   ,9.0,3.0,0,12000,0
2020,SEPTEMBER,Solous,5367,49338,9.0,3.0,0,13000,5
2020,SEPTEMBER,Badagry,140,1260,9.0,3.0,0,8000,1
2020,SEPTEMBER,Epe,1545,15211,9.0,3.0,0,7000,2
2020,SEPTEMBER,Ikorodu,1535,14983,9.0,3.0,0,11000,3
2020,OCTOBER,Olusosun,6488,73277,10.0,4.0,0,15000,4
2020,OCTOBER,Abule-Egba, -   , -   ,10.0,4.0,0,12000,0
2020,OCTOBER,Solous,4183,38397,10.0,4.0,0,13000,5
2020,OCTOBER,Badagry,87,783,10.0,4.0,0,8000,1
2020,OCTOBER,Epe,1082,10269,10.0,4.0,0,7000,2
2020,OCTOBER,Ikorodu,1225,12230,10.0,4.0,0,11000,3
2021,JAN,Olusosun,8170,89103,,,0,15000,4
2021,JAN,Abule-Egba,4470,40509,,,0,12000,0
2021,JAN,Solous,150,1350,,,0,13000,5
2021,JAN,Badagry,1751,19551.5,,,0,8000,1
2021,JAN,Epe,1607,15720,,,0,7000,2
2021,JAN,Ikorodu,16148,166233.5,,,0,11000,3
2021,FEB,Olusosun,5759,61298,,,0,15000,4
2021,FEB,Abule-Egba,4204,39076,,,0,12000,0
2021,FEB,Solous,114,1068,,,0,13000,5
2021,FEB,Badagry,1277,16503.5,,,0,8000,1
2021,FEB,Epe,1182,11340,,,0,7000,2
2021,FEB,Ikorodu,12536,129285.5,,,0,11000,3
2021,MAR,Olusosun,9501,103257,,,0,15000,4
2021,MAR,Abule-Egba,5219,48067,,,0,12000,0
2021,MAR,Solous,145,1305,,,0,13000,5
2021,MAR,Badagry,1635,22238,,,0,8000,1
2021,MAR,Epe,1602,15725.5,,,0,7000,2
2021,MAR,Ikorodu,18102,190592.5,,,0,11000,3
2021,APR,Olusosun,9130,96372,,,0,15000,4
2021,APR,Abule-Egba,4943,45394,,,0,12000,0
2021,APR,Solous,148,1332,,,0,13000,5
2021,APR,Badagry,1480,18811.5,,,0,8000,1
2021,APR,Epe,1502,14665.5,,,0,7000,2
2021,APR,Ikorodu,17203,176575,,,0,11000,3
2021,MAY,Olusosun,9124,101204,5.0,2.0,0,15000,4
2021,MAY,Abule-Egba,4841,44285,5.0,2.0,0,12000,0
2021,MAY,Solous,140,1260,5.0,2.0,0,13000,5
2021,MAY,Badagry,1417,16914.5,5.0,2.0,0,8000,1
2021,MAY,Epe,1390,13684,5.0,2.0,0,7000,2
2021,MAY,Ikorodu,16912,177347.5,5.0,2.0,0,11000,3
2021,JUN,Olusosun,12399,134498,,,0,15000,4
2021,JUN,Abule-Egba,7264,66476,,,0,12000,0
2021,JUN,Solous,205,1845,,,0,13000,5
